
category,sub_category,hourly_min,hourly_med,hourly_max,daily_min,daily_med,daily_max,complexity_factor,avg_days
développement,web,35,55,85,280,440,680,1.2,18
développement,mobile,40,65,100,320,520,800,1.4,25
développement,api,45,70,110,360,560,880,1.3,15
développement,backend,40,60,95,320,480,760,1.2,20
développement,frontend,30,50,80,240,400,640,1.1,16
design,ui_ux,30,50,85,240,400,680,1.1,12
design,graphique,25,40,70,200,320,560,0.9,8
design,web,28,45,75,224,360,600,1.0,10
design,logo,35,55,90,280,440,720,0.8,5
design,print,22,35,60,176,280,480,0.8,7
marketing,digital,35,60,100,280,480,800,1.0,15
marketing,seo,30,50,80,240,400,640,1.1,20
marketing,social,25,40,65,200,320,520,0.9,12
marketing,contenu,20,35,60,160,280,480,0.8,10
marketing,strategie,50,80,130,400,640,1040,1.3,22
conseil,business,60,90,150,480,720,1200,1.4,25
conseil,it,55,85,140,440,680,1120,1.3,20
conseil,strategie,65,100,160,520,800,1280,1.5,30
conseil,formation,40,65,100,320,520,800,1.0,15
conseil,audit,50,75,120,400,600,960,1.2,18
travaux,peinture,25,35,50,200,280,400,0.8,5
travaux,plomberie,35,50,70,280,400,560,1.0,3
travaux,electricite,40,55,75,320,440,600,1.1,4
travaux,maconnerie,30,45,65,240,360,520,1.2,8
travaux,renovation,28,40,60,224,320,480,1.0,10
services,traduction,20,30,50,160,240,400,0.7,7
services,redaction,18,28,45,144,224,360,0.8,8
services,juridique,80,120,200,640,960,1600,1.5,12
services,comptabilite,35,55,85,280,440,680,1.0,10
services,rh,40,60,95,320,480,760,1.1,15
